Artist                                   ,Song                                              ,Other Games
GFriend                                  ,Me Gustas Tu                                      ,
Big Bang                                 ,Bang Bang Bang [unavailable for Japanese version] ,
Blackpink                                ,Boombayah [unavailable for Japanese version]      ,
EXID                                     ,Up & Down                                         ,
Outsider                                 ,Acquaintance                                      ,
Yassi Pressman feat. Nadine Lustre       ,Hush [version 1.03.0+]                            ,"Pump It Up XX, Pump It Up Phoenix"
Dreamcatcher                             ,Chase Me [version 1.09.0+]                        ,
DM Ashura feat. Skizzo & Hanna Stockzell ,Move That Body!                                   ,
Crayon Pop                               ,Bar Bar Bar                                       ,
T-ara                                    ,Sugar Free                                        ,
Apink                                    ,NoNoNo                                            ,
Kara                                     ,Pandora                                           ,
TatshMusicCircle feat. Sariyajin         ,Four Seasons of Loneliness ver.β                  ,
Masayoshi Minoshima feat. Nomico         ,Bad Apple!!                                       ,
TatshMusicCircle                         ,Creed -1st Desire-                                ,
Doin                                     ,Interference                                      ,
Crash                                    ,Crashday                                          ,
Som2                                     ,Deja Vu                                           ,
Vassline                                 ,Dawn of the Apocalypse                            ,
PXNDX                                    ,Narcisista por Excelencia                         ,
Yahpp                                    ,Chopsticks Challenge                              ,
Yahpp                                    ,Love Is a Danger Zone 2                           ,
Yahpp                                    ,Beat of the War 2                                 ,
Big Metra                                ,Pañuelito Rojo                                    ,
PXNDX                                    ,Procedimientos Para Llegar a un Común Acuerdo     ,
Nina Pilots                              ,Digan lo que Digan                                ,
Big Metra                                ,Trato de No Trabarme                              ,
BanYa                                    ,Canon D                                           ,
