Artist                                   ,Song                                          ,Other Games
MAX                                      ,Sarabande                                     ,
SHK                                      ,Death Moon                                    ,
MAX                                      ,Prime 2 Opening                               ,
Nato                                     ,Shub Niggurath [version 1.08.0+]              ,
M2U                                      ,Hyperion                                      ,
MAX                                      ,Kasou Shinja                                  ,
SHK                                      ,Super Fantasy                                 ,
Nato                                     ,Yog Sothoth                                   ,
Nato                                     ,Silhouette Effect                             ,
DM Ashura feat. Skizzo & Hanna Stockzell ,Move That Body!                               ,
MAX                                      ,PRIME Opening                                 ,
SID-Sound                                ,Selfishness                                   ,
Matduke                                  ,Rock the House                                ,
typeMARS                                 ,Stardust Overdrive                            ,
DM Ashura                                ,Ignis Fatuus                                  ,
Doin                                     ,FFF                                           ,
SHK                                      ,Unique                                        ,
MAX                                      ,U Got Me Rocking                              ,
J-Mi & Midi-D feat. Hanna Stockzell      ,Pop the Track                                 ,
SynthWulf                                ,Passacaglia                                   ,
Doin                                     ,Trotpris                                      ,
Doin                                     ,Cleaner                                       ,
SHK                                      ,Take Out                                      ,
MAX                                      ,Overblow                                      ,
DM Ashura                                ,X-Rave                                        ,
BanYa                                    ,Final Audition 2                              ,
BanYa                                    ,Final Audition 3 UF                           ,
Yahpp                                    ,Final Audition Episode 2-X                    ,
BanYa                                    ,Love Is a Danger Zone                         ,
BanYa                                    ,Love Is a Danger Zone 2                       ,
BanYa                                    ,Extravaganza                                  ,
BanYa                                    ,Chicken Wing                                  ,
BanYa                                    ,Winter                                        ,
BanYa                                    ,Solitary 2                                    ,
BanYa                                    ,Moonlight                                     ,
BanYa                                    ,Witch Doctor                                  ,
BanYa Production                         ,Exceed 2 Opening                              ,
Yahpp                                    ,NX Opening                                    ,
BanYa Production                         ,K.O.A.: Alice in Wonderworld                  ,
Yahpp                                    ,Bemera                                        ,
Yahpp                                    ,Pumptris 8bit ver.                            ,
SHK                                      ,Destination                                   ,
PXNDX                                    ,Procedimientos Para Llegar a un Común Acuerdo ,
